t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
4.000000000000000083e-02,-2.558351569124782052e-02,2.056901009177671380e+00,-1.329820650759607314e+00,-7.143859772717220391e-01,1.096401681152091162e-01,1.569032889351974269e+00,-6.210187954998385162e-01,-3.488884771338960911e-01,-1.573722679635469746e+00,1.929555998141318174e+00,3.141609133180508273e+00,-3.377533809804417197e-02,5.515639235651240924e+00,-2.747761061735330657e+01,-1.412274131756190343e+01,-6.061531829134244376e+00,1.022046784045455237e+00,7.403692179173537898e-03
4.200000000000000261e-02,-2.688648754202827701e-02,2.056245616483820982e+00,-1.332951327886161552e+00,-7.105586043439791055e-01,1.159235075254778924e-01,1.568961918876883965e+00,-5.964587749042549181e-01,-3.763690758274469417e-01,-1.583570216899810701e+00,1.949414008668311826e+00,3.141578688401258646e+00,-3.147836219490698917e-02,5.553715879831541358e+00,-2.736008097889033053e+01,-1.372026594062042726e+01,-5.920808674973329744e+00,1.039580227458044126e+00,7.284482223546696888e-03
4.399999999999999745e-02,-2.810136889650872646e-02,2.055535606381599933e+00,-1.336104193455869948e+00,-7.066898917583358530e-01,1.222066815028362008e-01,1.568895303725119650e+00,-5.861909115888760402e-01,-4.046308251426961045e-01,-1.590510435187399763e+00,1.968273969896471742e+00,3.141580678822197381e+00,-2.902418842865612039e-02,8.478050021094619026e+00,-2.724249208450440207e+01,-1.323869703880788862e+01,-5.755044041679093780e+00,1.552684914108173331e+00,7.253784781794512040e-03
4.599999999999999922e-02,-2.928001811813656097e-02,2.054770625472819301e+00,-1.339276235163163964e+00,-7.027819481408396074e-01,1.284898053146771024e-01,1.568833351755292371e+00,-5.710162175099616766e-01,-4.346601158260559039e-01,-1.592263986429068856e+00,1.986247088002677685e+00,3.141592504822945831e+00,-2.640806237209353952e-02,8.059879165934493273e+00,-2.710682531325326039e+01,-1.291509304220908838e+01,-5.634210949116930323e+00,1.493763309912450099e+00,7.143596800374411165e-03
4.800000000000000100e-02,-3.045612576185273424e-02,2.053949355378634323e+00,-1.342462203714167801e+00,-6.988368018425539230e-01,1.347729708873879328e-01,1.568776375877515061e+00,-5.402625856170459873e-01,-4.669252981331232788e-01,-1.587790952670298905e+00,2.003507613260458786e+00,3.141596143080491288e+00,-2.362561252428787770e-02,4.136919302146789268e-01,-2.694084220746325897e+01,-1.290412257120953399e+01,-5.604598845074861835e+00,1.964178561819022173e-01,6.849338236464074837e-03
5.000000000000000278e-02,-3.159691790971577707e-02,2.053067090642513914e+00,-1.345649022402435335e+00,-6.948560881978597115e-01,1.410561678103432748e-01,1.568724705608130154e+00,-5.142173078671942177e-01,-5.000543196225557541e-01,-1.580445864340755513e+00,2.020420695506333519e+00,3.141593634728779172e+00,-2.067377588301066646e-02,-9.798627186148067381e+00,-2.675325923815018214e+01,-1.306149003573174738e+01,-5.626407129091496984e+00,-1.542252994936753163e+00,6.498423746812484816e-03
5.200000000000000455e-02,-3.265807393111638118e-02,2.052118578826598760e+00,-1.348822373008037090e+00,-6.908413147723488912e-01,1.473393643827954069e-01,1.568678674343530588e+00,-5.188833266660906052e-01,-5.323195588315778881e-01,-1.574415582994132201e+00,2.037363114855555768e+00,3.141591195097648725e+00,-1.754974512660501668e-02,-1.626771591065421418e+01,-2.655721956934290162e+01,-1.318334607796473712e+01,-5.642541282014242654e+00,-2.642992889741039964e+00,6.262824444401398662e-03
5.399999999999999939e-02,-3.366104609338302356e-02,2.051102881923848376e+00,-1.351978431290033367e+00,-6.867929964136387788e-01,1.536225486267380480e-01,1.568638622157137785e+00,-5.574564203600278489e-01,-5.629822756562812280e-01,-1.571138277528046689e+00,2.054022617017336572e+00,3.141591172625722184e+00,-1.425007665488131972e-02,-1.736731864355319388e+01,-2.636338956453070637e+01,-1.318483036842821221e+01,-5.626809176439476978e+00,-2.826659053929264420e+00,6.183694485528232199e-03
5.600000000000000117e-02,-3.469341467222895881e-02,2.050023399651814238e+00,-1.355123923643874351e+00,-6.827106498916473143e-01,1.599057283933899842e-01,1.568604895835452595e+00,-6.102020664656296889e-01,-5.922979503607352925e-01,-1.569288583884943966e+00,2.069394193171146590e+00,3.141592027982907709e+00,-1.077068715382449929e-02,-1.617957073382992661e+01,-2.617994541432037181e+01,-1.310071403238772092e+01,-5.584087919933548250e+00,-2.618542137091750099e+00,6.170664783943328839e-03
5.800000000000000294e-02,-3.583065433866783334e-02,2.048883505720030307e+00,-1.358264992755672695e+00,-6.785944975693295467e-01,1.661889108355476541e-01,1.568577845442598928e+00,-6.598036744718266400e-01,-6.205955381505959823e-01,-1.567576098259577444e+00,2.082775729900880446e+00,3.141592358773587002e+00,-7.108101633269879593e-03,-1.539069875956369415e+01,-2.601010687395637788e+01,-1.297055115743759401e+01,-5.522039664605371989e+00,-2.476875029655409399e+00,6.145197862141012907e-03
