t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
5.999999999999999778e-02,3.993955062277629493e-06,2.071277310309351360e+00,-1.454450846582959755e+00,-6.121671947970181993e-01,-1.531400174799756587e-05,1.570797293467914191e+00,1.466085162634587981e-04,3.456260525153573848e-01,-6.057896308990639689e+00,5.842616012572309891e+00,-5.692723322031808782e-04,-6.949357709795931151e-05,-2.264094220052859530e-03,-3.299999505403640399e+01,-2.130414495439793043e+01,-8.124780174095732832e+00,1.183559879460649640e-04,9.844263972922042208e-03
6.199999999999999956e-02,4.275349947696758699e-06,2.071919040290964631e+00,-1.465986416546734450e+00,-6.010270098222993962e-01,-1.639312585544486095e-05,1.570797153233475907e+00,1.493574243152397910e-04,3.579789990755960494e-01,-6.198674088562410311e+00,5.974863716131991964e+00,-5.837285235504686498e-04,-6.904821439248153101e-05,-1.833931070688913289e-03,-3.300000086083641548e+01,-2.090109690036383583e+01,-8.000710831903505849e+00,3.914789770812776570e-04,9.695408781653324509e-03
6.400000000000000133e-02,4.563070468542130316e-06,2.072585571210724176e+00,-1.477820643912134857e+00,-5.896062762166782711e-01,-1.750275333887018350e-05,1.570797013355990313e+00,1.519032906400538793e-04,3.702656685109414481e-01,-6.335152216570137718e+00,6.103091531418423088e+00,-5.977739837328408575e-04,-6.846815489298448837e-05,-1.400979998362550513e-03,-3.300000683762290521e+01,-2.049944075680972233e+01,-7.874782368627499807e+00,6.643723248308214084e-04,9.543951815157099977e-03
6.600000000000000311e-02,4.856702056243276610e-06,2.073276863161318762e+00,-1.489944982256324879e+00,-5.779130194130422948e-01,-1.864209106496773978e-05,1.570796874102145635e+00,1.542503150206211700e-04,3.824398305208610571e-01,-6.467304178835181716e+00,6.227292310042689572e+00,-6.113945462510084238e-04,-6.775207071621377987e-05,-9.655727731499889541e-04,-3.300000981923499666e+01,-2.009981365957322197e+01,-7.747136190230510699e+00,9.366575175918064652e-04,9.390027393664046249e-03
6.800000000000000488e-02,5.155830142229729851e-06,2.073992876235439820e+00,-1.502350885156469529e+00,-5.659552648442788270e-01,-1.981034590043172585e-05,1.570796735738630101e+00,1.564026972396617698e-04,3.944552548048219642e-01,-6.595103461178897675e+00,6.347458903615879500e+00,-6.245760446056818375e-04,-6.689863397891502889e-05,-5.280411651274460405e-04,-3.300000664051177068e+01,-1.970285274449196322e+01,-7.617913702675329191e+00,1.207956041761343996e-03,9.233769837404818409e-03
7.000000000000000666e-02,5.460040157931022307e-06,2.074733570525773896e+00,-1.515029806189732486e+00,-5.537410379432748941e-01,-2.100672471195634460e-05,1.570796598532131716e+00,1.583646370798957317e-04,4.062657110622914791e-01,-6.718523549422638297e+00,6.463584163749077405e+00,-6.373043122975716960e-04,-6.590651679783380461e-05,-8.871694437113854942e-05,-3.299999413629232947e+01,-1.930919514740355325e+01,-7.487256311924742391e+00,1.477889383736543652e-03,9.075313466610085422e-03
7.200000000000000844e-02,5.768924551817193415e-06,2.075498829042561777e+00,-1.527973154778524689e+00,-5.412783760656572074e-01,-2.223041075851877387e-05,1.570796462751561595e+00,1.601409411112172715e-04,4.178234190129412884e-01,-6.837538318592913278e+00,6.575660258998834884e+00,-6.495652615880194262e-04,-6.477428690795835600e-05,3.520544743095314574e-04,-3.299997163670033729e+01,-1.891947263295330828e+01,-7.355310735226004759e+00,1.746080539914214580e-03,8.914801139099539154e-03
7.399999999999999634e-02,6.082103843466938173e-06,2.076288226433877782e+00,-1.541172163707706266e+00,-5.285753642630184324e-01,-2.348049285831471260e-05,1.570796328674727071e+00,1.617388433070222518e-04,4.290743978063891739e-01,-6.952123200700259353e+00,6.683676625416748784e+00,-6.613451198139632531e-04,-6.350009447341525468e-05,7.938730914426679521e-04,-3.299994845404560095e+01,-1.853429547876180550e+01,-7.222244937194557401e+00,2.012158547324040259e-03,8.752409866634152519e-03
7.599999999999999811e-02,6.399205570972851383e-06,2.077101260249158976e+00,-1.554618021598111577e+00,-5.156400995121925845e-01,-2.475603621686588949e-05,1.570796196581657256e+00,1.631661845552895783e-04,4.399631162870030754e-01,-7.062254017042083554e+00,6.787622015856454638e+00,-6.726301930895098920e-04,-6.208198525465625280e-05,1.236325259958173184e-03,-3.299993639644637966e+01,-1.815426859012948668e+01,-7.088232194845525136e+00,2.275753953312468179e-03,8.588325200356581104e-03
7.799999999999999989e-02,6.719857272427524460e-06,2.077937428037844647e+00,-1.568301917070575868e+00,-5.024806787900150118e-01,-2.605610603969398919e-05,1.570796066752383258e+00,1.644308057439981027e-04,4.504340432991512655e-01,-7.167906588915799126e+00,6.887485183171588865e+00,-6.834067875287655166e-04,-6.051800501213322448e-05,1.678997332785940513e-03,-3.299994727202100364e+01,-1.777999687235681137e+01,-6.953445785194037221e+00,2.536497305225938245e-03,8.422732691409494377e-03
8.000000000000000167e-02,7.043686485923545432e-06,2.078796227349372305e+00,-1.582215038745933278e+00,-4.891051990733201182e-01,-2.737976753232070653e-05,1.570795939466933522e+00,1.655405477611267035e-04,4.604316476872017394e-01,-7.269056737618806885e+00,6.983254880215785221e+00,-6.936612092458366253e-04,-5.880619950629796251e-05,2.121475662855865519e-03,-3.299999288888773918e+01,-1.741208523074421066e+01,-6.818058985255221138e+00,2.794019150410893826e-03,8.255817890935544454e-03
8.200000000000000344e-02,7.370333811287501951e-06,2.079677063202971965e+00,-1.596348534943682340e+00,-4.755217760792783133e-01,-2.872606307966289786e-05,1.570795815008593665e+00,1.665036224564324277e-04,4.698998503497490709e-01,-7.365680712255388229e+00,7.074919102028270679e+00,-7.033800643936297288e-04,-5.694472692274359972e-05,2.563327497929527264e-03,-3.300007574224311924e+01,-1.705112149741321304e+01,-6.682248593013260241e+00,3.047951489750292103e-03,8.087772288009666480e-03
8.400000000000000522e-02,7.699492101550486472e-06,2.080578970452635179e+00,-1.610693392758634879e+00,-4.617386004953944467e-01,-3.009394377326596692e-05,1.570795693673663562e+00,1.673297257048149769e-04,4.787803801393252234e-01,-7.457756473362598726e+00,7.162462812026926251e+00,-7.125511594242438414e-04,-5.493219520158300145e-05,3.004043655926355409e-03,-3.300016107112716668e+01,-1.669762520357584279e+01,-6.546205492018325245e+00,3.297932138970723331e-03,7.918811126285571836e-03
8.600000000000000699e-02,8.030867274612044969e-06,2.081500891399937103e+00,-1.625240558974593741e+00,-4.477638817540062210e-01,-3.148233787859417039e-05,1.570795575761699814e+00,1.680289244319728361e-04,4.870144178311966998e-01,-7.545262409387021307e+00,7.245870215633370748e+00,-7.211626009005792049e-04,-5.276732473504926012e-05,3.443095845012750494e-03,-3.300020479942330098e+01,-1.635209880316811137e+01,-6.410124087634581969e+00,3.543600367684101096e-03,7.749155588774175873e-03
8.799999999999999489e-02,8.364165248371713249e-06,2.082441768346454225e+00,-1.639980980375361552e+00,-4.336058292874508946e-01,-3.289017366111172773e-05,1.570795461572256801e+00,1.686112855636043815e-04,4.945431442006295031e-01,-7.628176908775242460e+00,7.325125518269214098e+00,-7.292024953855354109e-04,-5.044883591537546139e-05,3.879955773355107853e-03,-3.300016285101492031e+01,-1.601504475012601603e+01,-6.274198785226188235e+00,3.784595445502336383e-03,7.579026858486394812e-03
8.999999999999999667e-02,8.699091940729043217e-06,2.083400543593763921e+00,-1.654905603744741605e+00,-4.192726525280660033e-01,-3.431637938628290241e-05,1.570795351404891349e+00,1.690868760254080711e-04,5.013077400228903580e-01,-7.706478359973846004e+00,7.400212925356079552e+00,-7.366589494420129180e-04,-4.797544913479469091e-05,4.314095149119834098e-03,-3.299999114978544412e+01,-1.568696549838555399e+01,-6.138623990157307198e+00,4.020556642037346681e-03,7.408646118433147472e-03
